src,tgt,method,dim,seed,acc,f1,auc,acc_src,f1_src,auc_src,delta_acc,delta_f1,delta_auc
MUTAG,ENZYMES,gin,256,0,0.18333333333333332,0.0825127462943519,0.52888,0.973404255319149,0.9704986975488812,0.9991111111111111,0.7900709219858156,0.8879859512545293,0.47023111111111104
MUTAG,IMDB-MULTI,gin,256,0,0.27666666666666667,0.222275944295409,0.43212249999999996,0.973404255319149,0.9704986975488812,0.9991111111111111,0.6967375886524823,0.7482227532534722,0.5669886111111111
ENZYMES,MUTAG,gin,256,0,0.0,0.0,0.5,0.96,0.960276998870984,0.99826,0.96,0.960276998870984,0.49826000000000004
ENZYMES,ENZYMES,gin,256,0,0.96,0.960276998870984,0.99826,0.96,0.960276998870984,0.99826,0.0,0.0,0.0
ENZYMES,IMDB-MULTI,gin,256,0,0.0,0.0,,0.96,0.960276998870984,0.99826,0.96,0.960276998870984,
IMDB-MULTI,MUTAG,gin,256,0,0.3351063829787234,0.250996015936255,0.5,0.5253333333333333,0.5069092047986039,0.714802,0.1902269503546099,0.25591318886234893,0.21480200000000005
IMDB-MULTI,ENZYMES,gin,256,0,0.16666666666666666,0.047619047619047616,0.5,0.5253333333333333,0.5069092047986039,0.714802,0.3586666666666667,0.4592901571795563,0.21480200000000005
IMDB-MULTI,IMDB-MULTI,gin,256,0,0.5253333333333333,0.5069092047986039,0.714802,0.5253333333333333,0.5069092047986039,0.714802,0.0,0.0,0.0
MUTAG,MUTAG,graph2vec,16,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
MUTAG,ENZYMES,graph2vec,16,1,0.16666666666666666,0.047619047619047616,0.49701,1.0,1.0,1.0,0.8333333333333334,0.9523809523809523,0.50299
MUTAG,IMDB-MULTI,graph2vec,16,1,0.3353333333333333,0.2463838302706012,0.5091205,1.0,1.0,1.0,0.6646666666666667,0.7536161697293988,0.4908795
ENZYMES,MUTAG,graph2vec,16,1,0.0,0.0,0.3291428571428572,0.8716666666666667,0.8715261692712325,0.9841133333333333,0.8716666666666667,0.8715261692712325,0.6549704761904761
ENZYMES,ENZYMES,graph2vec,16,1,0.8716666666666667,0.8715261692712325,0.9841133333333333,0.8716666666666667,0.8715261692712325,0.9841133333333333,0.0,0.0,0.0
ENZYMES,IMDB-MULTI,graph2vec,16,1,0.046,0.03482920163584289,,0.8716666666666667,0.8715261692712325,0.9841133333333333,0.8256666666666667,0.8366969676353896,
IMDB-MULTI,MUTAG,graph2vec,16,1,0.526595744680851,0.5095987572906592,0.5066666666666667,0.7186666666666667,0.7165771061353642,0.8954306666666666,0.19207092198581566,0.206978348844705,0.3887639999999999
IMDB-MULTI,ENZYMES,graph2vec,16,1,0.18166666666666667,0.08633958633958634,0.5397066666666667,0.7186666666666667,0.7165771061353642,0.8954306666666666,0.537,0.6302375197957778,0.35572399999999993
